Messages	Trigger Type	Trigger Event	Trigger	Frequency of delivery	If 1	If 2	Other Notes	Times Sent	MM Domain	MM Sub-Domain
"Transit issues, getting out of work or school, and lines at the clinic can delay your visit. Plan early, get in early, and get out easy! Reply ""1"" to reschedule your appointment."	Scheduled	Visit 6	1 day before	sent once 1 day pre-appt at 9am for 6th visit	"""To reschedule, call 212-562-1082"""			1	Self-Management 	Appointment Adherence
"Uninsured? You may qualify for  free meds and clinic visits at Bellevue. Reply ""1"" to enroll with Metroplus and get more information. "	Scheduled	Visit 1	day of	sent once on day of enrollment	Call METROPLUS 1-800-442-2560 or head to the MetroPlus table in Bellevue's main lobby to get signed up			1	Self-Management 	Administrative healthcare utilization 
Make sure you pick up your red card from the Bellevue Business Office located in the main lobby. Can't get care at Bellevue without it	Scheduled	Enrollment	day of	sent once on day of enrollment				1	Self-Management 	Administrative healthcare utilization 
"Standing around in the waiting area? Reply ""1"" to get to our clinic couselor number and get tips and advice about your recovery. "	Scheduled	"Visit 2,Visit 4"	day of	"sent once on  day of appt at 9am for 1st, 4th , 8th visit"	"""Call 917-239-3850 to speak with Jesus, our clinic counselor"""			1	Self-Management 	Administrative healthcare utilization 
"Depression, anxiety, or stress getting too much? Hit ""1"" for our Psychiatry clinic number or ""2"" for our outpatient counseling program. Its free!"	Scheduled	"Visit 3,Visit 5"	day of	sent once on  day of appt at 9am for 2nd visit  and 5th visit	"""Call 212-562-8856 or walk-in anytime to C-building, 2nd floor for an initial visit"""	"""Call 212-562-4487 or walk-in anytime to XX building, XX floor for an initial visit"""	FIND NUMBER PSYC / CDOP	1	Self-Management 	Administrative healthcare utilization 
"Avoid delays at the pharmacy. Check ur insurance to make sure its active. Need insurance? Type ""1"" to get enrollment information. "	Scheduled	Visit 6	day of	sent once on day of appt at 9am for 1st visit	Call METROPLUS 1-800-442-2560 or head to the MetroPlus table in Bellevue's main lobby to get signed up			1	Self-Management 	Administrative healthcare utilization 
There's always ups&downs but hang in there! Stopping your sbx and relapsing on just a small amount can put you at risk of an OD. Stay solid!	Scheduled	Day 3	day of	sent on day of appt at 9am for 2nd visit				1	Self-Management 	Overdose Prevention
"Hang in there and stay healthy! Avoid mixing benzo's (klonopin, Xanax), alcohol, and sbx. Its dangerous and can lead to OD."	Scheduled	Visit 1	day of	sent on day of appt at 9am for 3rd visit				1	Self-Management 	Overdose Prevention
You've worked so hard to stay in treatment. Even a little bit of opioids can put you at risk of an OD on top of your sbx. Stay safe!	Scheduled	Visit 4	day of	sent on day of appt at 9am for 4th visit				1	Self-Management 	Overdose Prevention
"Be healthy and don't risk an OD. Avoid up'ing ur sbx dose on top of alcohol or benzo's (Xanax, klonopin). Talk to your doc first."	Scheduled	Day 10	day of	sent on day of appt at 9am for 5th visit				1	Self-Management 	Overdose Prevention
"Overdoses from fentanyl are rising. Don't be a victim, don't be a statistic. Sticking with treatment saves lives!"	Scheduled	Visit 3	day of	sent on day of appt at 9am for 6th visit				1	Self-Management 	Overdose Prevention
"Don't let an OD take another life! Stick with ur narcan kit, get trained, and save a life. Reply ""1"" to get more info "	Scheduled	"Day 1,Enrollment"	day of	sent one day post-enrollment 12pm	"""Pull off the yellow&red caps->attach the nasal piece and naloxone in the barrel->tilt head back->pray half in one nostril->if no response in 2 minutes, spray half in other nostril. Call 911!"""			1	Self-Management 	Overdose Prevention
Get a free narcan kit from ur doctor! It saves lives! Click https://youtu.be/-t8ezZR4Xjk for a quick video on giving narcan (data usage charges may apply)	Scheduled	"Visit 7,Visit 2"	day of	sent once on day of appt 9am for 2nd and 7th visit			VIDEO LINK	1	Self-Management 	Overdose Prevention
Rushing ur 1st suboxone dose can throw you into withdrawal. Wait at least 12 hours since you last used and 24 hours if you used methadone	Scheduled	Enrollment	immediately	sent immediately after enrollment				1	Self-Management 	Buprenorphine dosing instructions at enrollment
"Wait out as long as you can before taking your first dose. Reply ""1"" if you're feeling severe physical symptoms, reply ""2"" if you can still hold out"	Scheduled	Enrollment	2 hours after	"sent 2 hours after enrollment. Then, repeat message every 3 hours until they reply with ""1"""	"Most people feel fine with half or 1.5 tablet on day one. Give yourself 1-3 hours between each half tablet to see how you feel. ,Put half a tab or strip (4mg) under ur tongue. Give it a few minutes to set in. And don't eat or drink anything until its fully absorbed. "	We'll check back in 3 hours to see how you're doing. Hang in there.	"[post 2 hours] How are you doing? Reply ""1"" if you need to start suboxone, reply ""2"" if you can wait"	max 5	Self-Management 	Buprenorphine dosing instructions at enrollment
Most people feel fine with half or 1.5 tablet on day one. Give yourself 1-3 hours between each half tablet to see how you feel. 	Response	Enrollment		"sent after replying ""1"" to ID 25 "					Self-Management 	Bup dosing guide - day 1
Put half a tab or strip (4mg) under ur tongue. Give it a few minutes to set in. And don't eat or drink anything until its fully absorbed. 	Response	Enrollment		"sent after replying ""1"" to ID 25 "			Instruction 1		Self-Management 	Bup dosing guide - instruction 1
"How are you doing? if you feel sick, reply ""1"", if you feel fine, reply ""2"".  "	Response	Enrollment		"Send 3 hours after replying 1 to #25   --  From ID 28 onwards, if replied ""1"" 4 times (to messages #28,29,30,32) then stop sending bup doping instructions (#32,34,35) and Start sending CRAVING MANAGEMENT MESSAGES (starting at #39)"	"""We got you! Take another half a tablet/strip (4mg). We'll check in a few hours. If you don't feel sick or have cravings, don't take extra sbx."""	"""Glad the dose is helping you! Wait for a few hours and we'll check in again. Fyi, if u don't feel sick or have cravings, don't take extra sbx"""	Instruction 2		Self-Management 	Bup dosing guide - instruction 2
"How are you feeling now? Still feeling sick? Then reply ""1"", if you feel fine, reply ""2"".  "	Response	Enrollment		"sent 6 hours after reply ""1"" to ID 25    --  From ID 28 onwards, if replied ""1"" 4 times (to messages #28,29,30,32) then stop sending bup doping instructions (#32,34,35) and Start sending CRAVING MANAGEMENT MESSAGES (starting at #39)"	"""Okay, take another 4mg . We'll check back in a few hours to see how you're feeling."""	"""Great, the dose is helping. We'll check in a few hours and see how things are going."""	Instruction 3		Self-Management 	Bup dosing guide - instruction 3
"Stick with the tx, it works! Feeling sick? Reply ""1"". Feeling better? Reply ""2"""	Response	Enrollment		"Sent 9 hours after reply ""1"" to ID 25   --  From ID 28 onwards, if replied ""1"" 4 times (to messages #28,29,30,32) then stop sending bup doping instructions (#32,34,35) and Start sending CRAVING MANAGEMENT MESSAGES (starting at #39)"	We got you! Take another 4mg and we'll check back in the morning. And fyi - Sbx kicks in about 30 minutes and lasts about 24 hours	The dose iw working! We'll get back to you in the morning. Fyi Sbx kicks in about 30 minutes and lasts about 24 hours	Instruction 4		Self-Management 	Bup dosing guide - instruction 4
Good morning! You made it to day 2! Now take the total amount you took yesterday. We'll check back in a few hours and see how you're feeling. 	Scheduled	Day 2	day of	sent 8am day 2 post enrollment   					Self-Management 	Bup dosing guide - day 2
"How are you doing? Any withdrawals? If yes, reply ""1"". If you feel fine, reply ""2"".  And fyi, sbx tablets and strips work the same, but might taste different."	Scheduled	Day 2	day of	"sent 9am day 2 post enrollment      --  From ID 28 onwards, if replied ""1"" 4 times (to messages #28,29,30,32) then stop sending bup doping instructions (#32,34,35) and Start sending CRAVING MANAGEMENT MESSAGES (starting at #39)"	"""You've max'd out ur dose of sbx for this week. But being mindful of certain people, places, things, or stress, and anxiety can reduce ur cravings"""	"""Glad the dose is working. Being mindful of certain people, places, things, or stress, anxiety, boredom can cut your cravings"""			Self-Management 	Bup dosing guide - day 2
"Hope you're doing well. Are you feeling any withdrawals? If yes, reply ""1"". If you feel fine, reply ""2"""	Scheduled	Day 2			"""Take half a tablet. This is ur max dose for this week. Being mindful of certain people, places, things, or stress, and anxiety can cut ur cravings"""	"""Glad the dose is working. Being mindful of certain people, places, things, or stress, anxiety, boredom can cut your cravings"""	"
"		Self-Management 	Bup dosing guide - day 2
"Are you feeling any withdrawal symptoms now? Reply ""1"" if yes, Reply ""2"" if you're fine"	Scheduled	Day 2	day of	"sent 12pm in day 2 post enrollment    --- From ID 28 onwards, if replied ""1"" 4 times (to messages #28,29,30,32) then stop sending bup doping instructions (#32,34,35) and Start sending CRAVING MANAGEMENT MESSAGES (starting at #39)"	"""Take half a tablet. This is ur max dose for this week. Being mindful of certain people, places, things, or stress, and anxiety can cut ur cravings"""				Self-Management 	Bup dosing guide - day 2
"Are you experiencing any withdrawals now? Reply ""1"" if yes, Reply ""2"" if you're feeling fine"	Scheduled	Day 2	day of	"sent 4pm in day post 2 enrollment    --  From ID 28 onwards, if replied ""1"" 4 times (to messages #28,29,30,32) then stop sending bup doping instructions (#32,34,35) and Start sending CRAVING MANAGEMENT MESSAGES (starting at #39)"	Take another half a tablet. We'll check back to see how you're doing	"""Great, your dose is working out. We'll be sending you some messages to help you manage ur cravings"""			Self-Management 	Bup dosing guide - day 2
"You made it now to day 3! Take the total amount you took yesterday. If you feel too tired or sleepy, cut down your dose by 4mg. We'll check back in a few hours and see how you're feeling. "	Scheduled	Day 3	day of	sent 9am day 3 post enrollment					Self-Management 	Bup dosing guide - day 3
"On to the day 4! Avoid adjusting your dose and take the amount you took yesterday. Reply ""1"" if ur feeling sick or need help from ur suboxone doc"	Scheduled	Day 4					We're here for you! Send a text to 917-XXX-XXXX and your suboxone doctor will get back to you Mon-Fri between 9-5pm. 		Self-Management 	Bup dosing guide - day 4
"Do you still have urges or cravings to use? Reply ""0"" for none, ""1"" for a little, ""2"" for somewhat, and ""3"" for a lot."	Scheduled	Day 5			"""Reply """"1"""" if these urges are due to withdrawals, """"2"""" if they're from anxiety or feeling down, """"3"""" stress or boredom, or """"4"""" cuz of people/places/things?"""		Great! Glad the treatment is working for you		Self-Management 	Bup dosing guide - day 5
"Don't take more than 2 tabs per day. If ur feeling withdrawal symptoms? Reply ""1"" to talk to your doctor and get the right meds to keep you comfortable"	Event	Enrollment	day of		We're here for you! Send a text to 917-XXX-XXXX and your suboxone doctor will get back to you Mon-Fri between 9-5pm.				Self-Management 	Craving Management 
"Still feeling cravings? Reflect on those people, places, things, or stressful situations that might be ur trigger. "	Event	Enrollment	day of						Self-Management 	CBT
"Getting onto a stable dose of sbx might take a few days, but it'll work! Be patient, you're doing great!"	Event	Day 1	day of						Self-Management 	supportive
"Don't take more than 16mg in one day. But if you need more, talk to your doc first. Reply ""1"" to get tips and other meds to get rid of any bad symptoms"	Event	Day 1	day after				We're here for you! Send a text to 917-XXX-XXXX and your suboxone doctor will get back to you Mon-Fri between 9-5pm. 		Self-Management 	contact
Stay strong! You're doing great. Reflect on what things inspire you to stay clean. 	Event	Day 2	day after						Self-Management 	CBT
"You've put in so much to stay in treatment. Keep focused. It works, saves lives, and helps patients bounce back, work, and rebuild their lives!"	Event	Day 2	day after						Self-Management 	supportive
"Don't get bored and risk use. Get out of the house, find a meeting, meet sober friends, exercise, anything to get your mind off of it. "	Scheduled	Day 3	day of						Self-Management 	CBT
"How are you doing? If you feel like it's getting too much and might use, reply ""1"" to talk with our doctor or counselor. We're here for you!"	Scheduled	Day 3	day of				We're here for you! Send a text to 917-XXX-XXXX to get our counselor or suboxone doctor Mon-Fri between 9-5pm. 		Self-Management 	contact
What reasons got you into treatment in the first place? Now what things motivate you to stay in treatment and make it work? 	Scheduled	Day 4	day of						Self-Management 	CBT
What got you to quit? Take a moment and think on it. You know you can do it! 	Scheduled	Day 4	day of						Self-Management 	CBT
"Have urges to use? Getting stressed? Don't let anxieties amp up your cravings. Reply ""1"" to get some relaxation techniques and cool it off. "	Scheduled	Day 5	day of				RELAXATION TECHNIQUES - VIDEO?		Self-Management 	relaxtion techniques
"Avoid certain people, places, things that make u use. And take a minute and reflect on positive people, places, things that can get u through this!"	Scheduled	Day 5	day of						Self-Management 	CBT
"Don't want to get locked up, lose your money, and go through withdrawals again. Stick with the treatment, it works! "	Scheduled	Day 6	day of						Self-Management 	supportive
"Find positive distractions! For urges and cravings, take a walk in the park, take a deep breath, say a prayer, call a friend, do something fun! You can do it!"	Scheduled	Day 6	day of						Self-Management 	CBT
Another text from your doc @Bellevue. We're here every Monday and Tuesday 9-12pm for you. keep up the good work!	Scheduled	Day 7	day of						Self-Management 	supportive
"Ask yourself ""When I have urges, cravings, or a physical needs, what 3 easy actvities will help me stay clean?"" "	Scheduled	Day 7	day of						Self-Management 	CBT
"Ask yourself ""When I have urges, cravings, or a physical needs, what 3 people help motivate me to stay clean?"""	Scheduled	Day 8	day of						Self-Management 	CBT
"Avoid people, places, things that can worsen ur cravings. Sticking with the sbx, clinic visits, and meetings will keep you solid! "	Scheduled	Day 8	day of						Self-Management 	supportive
"What else helps you get through the day? Exercise, calling a friend, dancing, music? Switch ur routines and enjoy your sobriety! "	Scheduled	Day 9	day of						Self-Management 	CBT
"Reflect on what it takes to stay clean. ""When I have urges, cravings, or a physical needs, which 3 places can I go to which can help me to stay clean?""  "	Scheduled	Day 9	day of						Self-Management 	CBT
"Don't get bored and risk use. Get out of the house, find a meeting, meet sober friends, exercise, anything to get your mind off of it. "	Scheduled	Day 10	day of						Self-Management 	CBT
"Take a moment and reflect: ""The two most important reasons I want to stay clean are...?"" "	Scheduled	Day 10	day of						Self-Management 	CBT
"Take a minute and reflect: ""By staying sober, I hope to experience and enjoy these two things..?"""	Scheduled	Day 11	day of						Self-Management 	CBT
"Reflect on what it takes to stay clean. ""When I'm stressed or anxious, what 3 things can I do instead of using?"""	Scheduled	Day 11	day of						Self-Management 	CBT
"Reflect on what it takes to stay clean. ""When I see people around me using, what 2 easy things can I do to get my mind off it?""  "	Scheduled	Day 12	day of						Self-Management 	CBT
This is your doc @Bellevue. Take it one day at a time. Every day on treatment is a step forward. Stay focused! You can do it! See you soon	Scheduled	Day 12	day of						Self-Management 	supportive
Stick with the program. It works. Don't give in to cravings. The consequences can be a lot worse. 	Scheduled	Day 13	day of						Self-Management 	supportive
"You don't have to use today. Hold on, someone cares. Call a friend, go to a meeting, link with our clinic counselors. "	Scheduled	Day 13	day of						Self-Management 	supportive
There's help out there; Be around people that are supportive. 	Scheduled	Day 14	day of						Self-Management 	supportive
Stay true to yourself. Allow someone like a family member to help you take your medication. 	Scheduled	Day 14	day of						Self-Management 	supportive
"Stay busy. Go to group meetings, do activities or exercises that make you feel better, "	Scheduled	Day 15	day of						Self-Management 	supportive
"Don't give in to cravings, stop before it's too late. Think how much better you'll feel in a few days. "	Scheduled	Day 15	day of						Self-Management 	supportive
Stay strong - Stay focused - Never give up - Hang in there!	Scheduled	Day 16	day of						Self-Management 	supportive
"How're you doing? If you ever have thoughts about using, come to clinic or contact our counselors"	Scheduled	Day 16	day of						Self-Management 	supportive
"This is your doctor, hope you're doing well and see you soon. "	Scheduled	Day 17	day of						Self-Management 	supportive
"Stay away from people, places, and things that can get in the way of your recovery. You've worked too hard for this. "	Scheduled	Day 17	day of						Self-Management 	supportive
"You put a lot of time to get here, don't forget what you've been through. "	Scheduled	Day 18	day of						Self-Management 	supportive
"Take your meds, stick with your appointments, keep in contact with your support network - it can only get better "	Scheduled	Day 18	day of						Self-Management 	supportive
"There's help out there. Be around people, meetings, and counselors that are supporting your recovery. "	Scheduled	Day 19	day of						Self-Management 	supportive
"Get out of the house, do community service, exercise, get your mind off it "	Scheduled	Day 19	day of						Self-Management 	supportive
"Take it one day at a time, take it slow. "	Scheduled	Day 20	day of						Self-Management 	supportive
You're doing great; Keep up the good work; Send congratulatory messages. 	Scheduled	Day 20	day of						Self-Management 	supportive
"It's easier to stay clean than to get clean. You don't want to get HIV, Hepatitis, or get arrested. "	Scheduled	Day 21	day of						Self-Management 	supportive
You know you're important to us. We're here to support you. 	Scheduled	Day 21	day of						Self-Management 	supportive
Be around positive people. Find someone you can talk to. 	Scheduled	Day 22	day of						Self-Management 	supportive
"It get's better, no more being sick. "	Scheduled	Day 23	day of						Self-Management 	supportive
"Don't change your routine, Stick to it. "	Scheduled	Day 24	day of						Self-Management 	supportive
"You're not cured yet. If you feel like relapsing, reach out for help. "	Scheduled	Day 25	day of						Self-Management 	supportive
"Taking extra sbx won't help ur anxiety or stress - get real help! Talk to your doc or reply ""1"" to get a visit with our walk-in Psychiatry clinic "	Scheduled	Day 3	day of	sent at 12pm 	"""Call 212-562-8856 or walk-in anytime to C-building, 2nd floor for an initial visit"""		GET PSYC INFO		Self-Management 	Buprenorphine Dosing Information
Suboxone helps you stay clean! Click on this 2 min video URL�.LINK to get more info on how it works and possible side effects (Data usage costs may apply)	Scheduled	Enrollment	day of	sent at 12pm					Self-Management 	Buprenorphine Dosing Information
"Don't exceed your daily dosage, be mindful of when the desire to exceed your dosage occurs. "	Scheduled	Day 4	day after	sent at 12pm					Self-Management 	Buprenorphine Dosing Information
"Keep a schedule, take your meds on time. Don't take it when you feel like it. "	Scheduled	Day 5		sent at 12pm					Self-Management 	Buprenorphine Dosing Information
"Stick with the meds! Sbx is safe with most anti-retrovirals. Talk to your doc to get more info.
"	Scheduled	Day 8					[Dashboard - send only if HCV+]		Self-Management  (HIV/HCV)	HIV/HCV General Information 
"Know your viral load, CD4, Genotype? Get tested, get your results.
"	Scheduled	Day 9					[Dashboard - send only if HCV+]		Self-Management  (HIV/HCV)	HIV/HCV General Information 
"Need more help? Bellevue can help you with depression, HIV, Hep C services. Ask your doc to get started on treatment"	Scheduled	Day 11							Self-Management  (HIV/HCV)	HIV/HCV General Information 
"Text the Dept of Health @ 877-877 and type ""testnyc"" for free HIV testing or ""care"" for HIV treatment options."	Scheduled	Day 12							Self-Management  (HIV/HCV)	HIV/HCV General Information 
"Get cured, stay on your antiretrovirals. Take them at the same time each day, use a calendar, pill tray, phone alarm, or ask friends/family to remind you. "	Scheduled	Day 15					[Dashboard - send only if HIV+]		Self-Management  (HIV/HCV)	HIV/HCV Adherence 
"Can be tough remembering to take your meds every day. Talk to your doc if you're feeling side effects, sick or depressed, or losing motivation in ur tx. "	Scheduled	Day 17					[Dashboard - send only if HIV+]		Self-Management  (HIV/HCV)	HIV/HCV Adherence 
"Feel good and get treated! Sticking with ur meds helps. If you forget them, tell your doc asap.  "	Scheduled	Day 19					[Dashboard - send only if HIV+]		Self-Management  (HIV/HCV)	HIV/HCV Adherence 
"Sticking with meds and appts can be hard for some. Get help from ur family and friends. Reply ""1"" to link with other people in tx supporting each other through this."	Scheduled	Day 23					[Dashboard - send only if HIV+]		Self-Management  (HIV/HCV)	HIV/HCV Adherence 
"Hitting a rough moment? Talk to others who've  been in your shoes. Reply ""1"" to get 1800 numbers for NA and SMART recovery groups and talk with someone who gets you. "	Scheduled	Day 12					"For NA, call 212-929-6262 and check out SMART recovery here http://www.smartrecovery.org/"		Behavioral Support	Counseling and 12 Step Group Participation 
"Feeling bored, alone, or frustrated? Link with SMART recovery groups to help you build and maintain the motivation to stay clean, coping with urges, and living a balanced life. Reply ""1"" for more info"	Scheduled	Day 15					Click here for SMART online forums https://www.smartrecovery.org/community/ and meeting schedules https://www.smartrecovery.org/community/calendar.php		Behavioral Support	Counseling and 12 Step Group Participation 
"Tap into your support network! Friends, family, church groups.. Need more help though? Check out 12 step or SMART recovery groups for individual and group support. There's people who can help!"	Scheduled	Day 8							Behavioral Support	Counseling and 12 Step Group Participation 
"What some more tips to stay clean and in treatment? Link up with our CDOP counselors just next to our sbx clinic. Reply ""1"" to get more information. "	Scheduled	Day 19			"""Call 212-562-4487 or walk-in anytime to XX building, XX floor for an initial visit"""		GET CDOP NUMBER		Behavioral Support	Counseling and 12 Step Group Participation 
"If you put your mind on it, you can do it. Sometimes an extra push can go a long way. Reply ""1"" to get support and linked with our CDOP counselors."	Scheduled	Day 22			"""Call 212-562-4487 or walk-in anytime to XX building, XX floor for an initial visit"""				Behavioral Support	Counseling and 12 Step Group Participation 
"These first weeks are crucial. And we're here for you. Combining sbx with outpatient counseling can make a difference! Reply ""1"" to get try out a session with our counselors. "	Scheduled	Day 26			"""Call 212-562-4487 or walk-in anytime to XX building, XX floor for an initial visit"""				Behavioral Support	Counseling and 12 Step Group Participation 
"Sometimes it's the small steps that are the most helpful. Linking with NA or AA, SMART groups, volunteering, exercising, more time with the fam, church, art, music, sports - enjoy your sobriety!!"	Scheduled	Day 29							Behavioral Support	Counseling and 12 Step Group Participation 
"Stay positive, you've made it into treatment! Link up with NA, AA, SMART groups, friends or family. Getting tips from others can be a big help. Reach out!"	Scheduled	Day 33							Behavioral Support	Counseling and 12 Step Group Participation 
"You're not alone. People care about you. Reach out to NA or AA, SMART groups, church groups, supportive friends or family, and our clinic staff. "	Scheduled	Day 36							Behavioral Support	Counseling and 12 Step Group Participation 
Stay active with other people in recovery. 	Scheduled	Day 40							Behavioral Support	Counseling and 12 Step Group Participation 
"To reschedule, call 212-562-1082"	Response									
"""2"" Bellevue is on 462 1st avenue and 28th st. Go to the 2nd floor in the main lobby and head to desk 2B"	Response									
To reschedule call 212-562-1634	Response									
To reschedule call 212-562-1341	Response									
To reschedule call 212-562-5710	Response									
To reschedule call 212-562-4487	Response									
"""2"" Bellevue is on 462 1st avenue and 28th st. Go to the XX building's XX floor and head to XX."	Response									
Call METROPLUS 1-800-442-2560 or head to the MetroPlus table in Bellevue's main lobby to get signed up	Response									
"Call 917-239-3850 to speak with Jesus, our clinic counselor"	Response									
"Call 212-562-8856 or walk-in anytime to C-building, 2nd floor for an initial visit"	Response									
"Call 212-562-4487 or walk-in anytime to XX building, XX floor for an initial visit"	Response									
"Pull off the yellow&red caps->attach the nasal piece and naloxone in the barrel->tilt head back->pray half in one nostril->if no response in 2 minutes, spray half in other nostril. Call 911!"	Response									
VIDEO LINK	Response									
Get to BUP DOSING Sequence	Response									
We'll check back in 3 hours to see how you're doing. Hang in there.	Response									
"Great, the dose is helping. We'll check in a few hours and see how things are going."	Response									
"Glad the dose is helping you! Wait for a few hours and we'll check in again. Fyi, if u don't feel sick or have cravings, don't take extra sbx"	Response									
"Okay, take another 4mg . We'll check back in a few hours to see how you're feeling."	Response									
"We got you! Take another half a tablet/strip (4mg). We'll check in a few hours. If you don't feel sick or have cravings, don't take extra sbx."	Response									
We got you! Take another 4mg and we'll check back in the morning. And fyi - Sbx kicks in about 30 minutes and lasts about 24 hours	Response									
The dose iw working! We'll get back to you in the morning. Fyi Sbx kicks in about 30 minutes and lasts about 24 hours	Response									
"You've max'd out ur dose of sbx for this week. But being mindful of certain people, places, things, or stress, and anxiety can reduce ur cravings"	Response									
"Take half a tablet. This is ur max dose for this week. Being mindful of certain people, places, things, or stress, and anxiety can cut ur cravings"	Response									
Take another half a tablet. We'll check back to see how you're doing	Response									
"Glad the dose is working. Being mindful of certain people, places, things, or stress, anxiety, boredom can cut your cravings"	Response									
"Great, your dose is working out. We'll be sending you some messages to help you manage ur cravings"	Response									
"Reply ""1"" if these urges are due to withdrawals, ""2"" if they're from anxiety or feeling down, ""3"" stress or boredom, or ""4"" cuz of people/places/things?"	Response									
We're here for you! Send a text to 917-XXX-XXXX and your suboxone doctor will get back to you Mon-Fri between 9-5pm.										
We got you! Send a text to 917-XXX-XXXX and our counselor will get back to you Mon-Fri between 9-5pm.										
