Messages,ID,Trigger Type,Trigger Event,Trigger,Time,If 1,If 2,Times Sent,MM Domain,MM Sub-Domain
"Hitting a rough moment? Talk to others who've  been in your shoes. Reply ""1"" to get 1800 numbers for NA and SMART recovery groups and talk with someone who gets you. ",99,Enrollment,Day 38,day of,2pm,For NA call 212-929-6262 and check out SMART recovery here http://www.smartrecovery.org/,,,Behavioral Support,Counseling and 12 Step Group Participation 
"Feeling bored, alone, or frustrated? Link with SMART recovery groups to help you build and maintain the motivation to stay clean, coping with urges, and living a balanced life. Reply ""1"" for more info",100,Enrollment,Day 39,day of,2pm,Click here for SMART online forums https://www.smartrecovery.org/community/ and meeting schedules https://www.smartrecovery.org/community/calendar.php,,,Behavioral Support,Counseling and 12 Step Group Participation 
"Tap into your support network! Friends, family, church groups.. Need more help though? Check out 12 step or SMART recovery groups for individual and group support. There's people who can help!",101,Enrollment,Day 40,day of,2pm,,,,Behavioral Support,Counseling and 12 Step Group Participation 
"What some more tips to stay clean and in treatment? Link up with our CDOP counselors just next to our sbx clinic. Reply ""1"" to get more information. ",102,Enrollment,Day 41,day of,2pm,"""Call 212-562-4487 or walk-in anytime to XX building, XX floor for an initial visit""",,,Behavioral Support,Counseling and 12 Step Group Participation 
"If you put your mind on it, you can do it. Sometimes an extra push can go a long way. Reply ""1"" to get support and linked with our CDOP counselors.",103,Enrollment,Day 42,day of,2pm,"""Call 212-562-4487 or walk-in anytime to XX building, XX floor for an initial visit""",,,Behavioral Support,Counseling and 12 Step Group Participation 
"These first weeks are crucial. And we're here for you. Combining sbx with outpatient counseling can make a difference! Reply ""1"" to get try out a session with our counselors. ",104,Enrollment,Day 43,day of,2pm,"""Call 212-562-4487 or walk-in anytime to XX building, XX floor for an initial visit""",,,Behavioral Support,Counseling and 12 Step Group Participation 
"Sometimes it's the small steps that are the most helpful. Linking with NA or AA, SMART groups, volunteering, exercising, more time with the fam, church, art, music, sports - enjoy your sobriety!!",105,Enrollment,Day 44,day of,2pm,,,,Behavioral Support,Counseling and 12 Step Group Participation 
"Stay positive, you've made it into treatment! Link up with NA, AA, SMART groups, friends or family. Getting tips from others can be a big help. Reach out!",106,Enrollment,Day 45,day of,2pm,,,,Behavioral Support,Counseling and 12 Step Group Participation 
"You're not alone. People care about you. Reach out to NA or AA, SMART groups, church groups, supportive friends or family, and our clinic staff. ",107,Enrollment,Day 46,day of,2pm,,,,Behavioral Support,Counseling and 12 Step Group Participation 
Stay active with other people in recovery. ,108,Enrollment,Day 47,day of,2pm,,,,Behavioral Support,Counseling and 12 Step Group Participation 
"To reschedule, call 212-562-1082",109,Response,,,,,,,,
"""2"" Bellevue is on 462 1st avenue and 28th st. Go to the 2nd floor in the main lobby and head to desk 2B",110,Response,,,,,,,,
To reschedule call 212-562-1634,119,Response,,,,,,,,
To reschedule call 212-562-1341,120,Response,,,,,,,,
To reschedule call 212-562-5710,121,Response,,,,,,,,
To reschedule call 212-562-4487,122,Response,,,,,,,,
"""2"" Bellevue is on 462 1st avenue and 28th st. Go to the XX building's XX floor and head to XX.",123,Response,,,,,,,,
Call METROPLUS 1-800-442-2560 or head to the MetroPlus table in Bellevue's main lobby to get signed up,139,Response,,,,,,,,
"Call 917-239-3850 to speak with Jesus, our clinic counselor",140,Response,,,,,,,,
"Call 212-562-8856 or walk-in anytime to C-building, 2nd floor for an initial visit",141,Response,,,,,,,,
"Call 212-562-4487 or walk-in anytime to XX building, XX floor for an initial visit",142,Response,,,,,,,,
"Pull off the yellow&red caps->attach the nasal piece and naloxone in the barrel->tilt head back->pray half in one nostril->if no response in 2 minutes, spray half in other nostril. Call 911!",143,Response,,,,,,,,
VIDEO LINK,144,Response,,,,,,,,
Get to BUP DOSING Sequence,145,Response,,,,,,,,
We'll check back in a few hours to see how you're doing. Hang in there.,146,Response,,,,,,,,
"Great, the dose is helping. We'll check in a few hours and see how things are going.",147,Response,,,,,,,,
"Glad the dose is helping you! Wait for a few hours and we'll check in again. Fyi, if u don't feel sick or have cravings, don't take extra sbx",148,Response,,,,,,,,
"Okay, take another 4mg . We'll check back in a few hours to see how you're feeling.",149,Response,,,,,,,,
"We got you! Take another half a tablet/strip (4mg). We'll check in a few hours. If you don't feel sick or have cravings, don't take extra sbx.",150,Response,,,,,,,,
We got you! Take another 4mg and we'll check back in the morning. And fyi - Sbx kicks in about 30 minutes and lasts about 24 hours,151,Response,,,,,,,,
The dose iw working! We'll get back to you in the morning. Fyi Sbx kicks in about 30 minutes and lasts about 24 hours,152,Response,,,,,,,,
"Just fyi, 16mg is the max dose of sbx per day for this week. Talk with your doc at your next visit to up your dose if you're feeling sick or cravings",153,Response,,,,,,,,
Take another 4mg only if you took 1 or 1.5 tabs today. The max dose is 16mg qd.,154,Response,,,,,,,,
"Take half a tab if you haven't max'd ur daily dose of 16mg suboxone. We'll check back to see how you're doing. Stick with the tx, it works!",155,Response,,,,,,,,
"Glad the dose is working. Being mindful of certain people, places, things, or stress, anxiety, boredom can cut your cravings",156,Response,,,,,,,,
"Great, your dose is working out. We'll be sending you some messages to help you manage ur cravings",157,Response,,,,,,,,
"Reply ""1"" if these urges are due to withdrawals, ""2"" if they're from anxiety or feeling down, ""3"" stress or boredom, or ""4"" cuz of people/places/things?",158,Response,,,,,,,,
We're here for you! Send a text to 917-XXX-XXXX and your suboxone doctor will get back to you Mon-Fri between 9-5pm.,160,Response,,,,,,,,
We got you! Send a text to 917-XXX-XXXX and our counselor will get back to you Mon-Fri between 9-5pm.,161,Response,,,,,,,,
For NA,162,Response,,,,,,,,
For NA call 212-929-6262 and check out SMART recovery here http://www.smartrecovery.org/,163,Response,,,,,,,,
Click here for SMART online forums https://www.smartrecovery.org/community/ and meeting schedules https://www.smartrecovery.org/community/calendar.php,164,Response,,,,,,,,
We're here for you! Send a text to 917-XXX-XXXX to get our counselor or suboxone doctor Mon-Fri between 9-5pm.,165,Response,,,,,,,,
We'll contact you shortly to answer any questions you have.,167,Response,,,,,,,,
We'll contact you shortly about this system and why it's useful.,168,Response,,,,,,,,

